sharedLLM	MGspeLLM	MDMspeLLM
NA	NA	Rps18
NA	NA	H2-Oa
NA	NA	Brd2
NA	NA	H2-DMa
NA	NA	H2-DMb2
NA	NA	H2-DMb1
NA	NA	Psmb9
NA	NA	Tap1
NA	NA	Psmb8
NA	NA	H2-Ob
NA	NA	H2-Ab1
NA	NA	H2-Aa
NA	NA	H2-Eb1
NA	NA	H2-Eb2
NA	NA	C4b
NA	NA	Ltb
NA	NA	Tnf
NA	NA	Ddr1
NA	NA	Flot1
NA	NA	Tnfrsf21
NA	NA	Runx2
NA	NA	Nfkbie
NA	NA	Gtpbp2
NA	NA	Klc4
NA	NA	Ccnd3
NA	NA	Trem1
NA	NA	Trem2
NA	NA	Adgre4
NA	NA	Stap2
NA	NA	Tnfsf9
NA	NA	Adgre1
NA	NA	Fer
NA	NA	Rab31
NA	NA	Ptprm
NA	NA	Epb41l3
NA	NA	Ndc80
NA	NA	Xdh
NA	NA	Fez2
NA	NA	Prkd3
NA	NA	Qpct
NA	NA	Cox7a2l
NA	NA	Haao
NA	NA	Zfp36l2
NA	NA	Mcfd2
NA	NA	Epcam
NA	NA	Crem
NA	NA	Bambi
NA	NA	Colec12
NA	NA	Npc1
NA	NA	B4galt6
NA	NA	Mapre2
NA	NA	Syt4
NA	NA	Reep2
NA	NA	Ctnna1
NA	NA	Ecscr
NA	NA	Cystm1
NA	NA	Pcdhb22
NA	NA	Pcdhgb2
NA	NA	Diaph1
NA	NA	Pcdh1
NA	NA	Trim36
NA	NA	Cdo1
NA	NA	Lox
NA	NA	Snx24
NA	NA	Aldh7a1
NA	NA	Lmnb1
NA	NA	Gm4951
NA	NA	Smim3
NA	NA	Ndst1
NA	NA	Csf1r
NA	NA	Alpk2
NA	NA	Malt1
NA	NA	Slc66a2
NA	NA	Sall3
NA	NA	Zfp516
NA	NA	Cndp2
NA	NA	Socs6
NA	NA	Cdk2ap2
NA	NA	Ssh3
NA	NA	Ctsf
NA	NA	Fau
NA	NA	Ahnak
NA	NA	Incenp
NA	NA	Rab3il1
NA	NA	Cyb561a3
NA	NA	Ms4a14
NA	NA	Ms4a7
NA	NA	Ms4a4c
NA	NA	Stx3
NA	NA	Mpeg1
NA	NA	Psat1
NA	NA	Gna14
NA	NA	Prune2
NA	NA	Gcnt1
NA	NA	Anxa1
NA	NA	Fam189a2
NA	NA	Jak2
NA	NA	Pdcd1lg2
NA	NA	Ch25h
NA	NA	Ifit1bl1
NA	NA	Htr7
NA	NA	Kif11
NA	NA	Ffar4
NA	NA	Blnk
NA	NA	Arhgap19
